2153.853774 0
2154.139391 0
2154.425009 0
2154.710626 0
2154.996244 0
2155.281862 0
2155.567479 0
2155.853097 0
2156.138714 0
2156.424332 0
2156.709950 0
2156.995567 0
2157.281185 0
2157.566802 0
2157.852420 0
2158.138037 0
2158.423655 0
2158.709273 0
2158.994890 0
2159.280508 0
2159.566125 0
2159.851743 0
2160.137360 0
2160.422978 0
2160.708596 0
2160.994213 0
2161.279831 0
2161.565448 0
2161.851066 0
2162.136683 0
2162.422301 0
2162.707919 0
2162.993536 0
2163.279154 0
2163.564771 0
2163.850389 0
2164.136006 0
2164.421624 0
2164.707242 0
2164.992859 0
2165.278477 0
2165.564094 0
2165.849712 0
2166.135329 0
2166.420947 0
2166.706565 0
2166.992182 0
2167.277800 0
2167.563417 0
2167.849035 0
2168.134652 0
2168.420270 0
2168.705888 0
2168.991505 0
2169.277123 0
2169.562740 0
2169.848358 0
2170.133976 0
2170.419593 0
2170.705211 0
2170.990828 0
2171.276446 0
2171.562063 0
2171.847681 0
2172.133299 0
2172.418916 0
2172.704534 0
2172.990151 0
2173.275769 0
2173.561386 0
2173.847004 0
2174.132622 0
2174.418239 0
2174.703857 0
2174.989474 0
2175.275092 0
2175.560709 0
2175.846327 0
2176.131945 0
2176.417562 0
2176.703180 0
2176.988797 0
2177.274415 0
2177.560032 0
2177.845650 0
2178.131268 0
2178.416885 0
2178.702503 0
2178.988120 0
2179.273738 0
2179.559355 0
2179.844973 0
2180.130591 0
2180.416208 0
2180.701826 0
2180.987443 0
2181.273061 0
2181.558678 0
2181.844296 0
2182.129914 0
2182.415531 0
2182.701149 0
2182.986766 0
2183.272384 0
2183.558001 0
2183.843619 0
2184.129237 0
2184.414854 0
2184.700472 0
2184.986089 0
2185.271707 0
2185.557325 0
2185.842942 0
2186.128560 0
2186.414177 0
2186.699795 0
2186.985412 0
2187.271030 0
2187.556648 0
2187.842265 0
2188.127883 0
2188.413500 0
2188.699118 0
2188.984735 0
2189.270353 0
2189.555971 0
2189.841588 0
2190.127206 0
2190.412823 0
2190.698441 0
2190.984058 0
2191.269676 0
2191.555294 0
2191.840911 0
2192.126529 0
2192.412146 0
2192.697764 0
2192.983381 0
2193.268999 0
2193.554617 0
2193.840234 0
2194.125852 0
2194.411469 0
2194.697087 0
2194.982704 0
2195.268322 0
2195.553940 0
2195.839557 0
2196.125175 0
2196.410792 0
2196.696410 0
2196.982027 0
2197.267645 0
2197.553263 0
2197.838880 0
2198.124498 0
2198.410115 0
2198.695733 0
2198.981351 0
2199.266968 0
2199.552586 0
2199.838203 0
2200.123821 0
2200.409438 0
2200.695056 0
2200.980674 0
2201.266291 0
2201.551909 0
2201.837526 0
2202.123144 0
2202.408761 0
2202.694379 0
2202.979997 0
2203.265614 0
2203.551232 0
2203.836849 0
2204.122467 0
2204.408084 0
2204.693702 0
2204.979320 0
2205.264937 0
2205.550555 0
2205.836172 0
2206.121790 0
2206.407407 0
2206.693025 0
2206.978643 0
2207.264260 0
2207.549878 0
2207.835495 0
2208.121113 0
2208.406730 0
2208.692348 0
2208.977966 0
2209.263583 0
2209.549201 0
2209.834818 0
2210.120436 0
2210.406053 0
2210.691671 0
2210.977289 0
2211.262906 0
2211.548524 0
2211.834141 0
2212.119759 0
2212.405377 0
2212.690994 0
2212.976612 0
2213.262229 0
2213.547847 0
2213.833464 0
2214.119082 0
2214.404700 0
2214.690317 0
2214.975935 0
2215.261552 0
2215.547170 0
2215.832787 0
2216.118405 0
2216.404023 0
2216.689640 0
2216.975258 0
2217.260875 0
2217.546493 0
2217.832110 0
2218.117728 0
2218.403346 0
2218.688963 0
2218.974581 0
2219.260198 0
2219.545816 0
