2153.853774 0
2154.139299 0
2154.424825 0
2154.710351 0
2154.995877 0
2155.281402 0
2155.566928 0
2155.852454 0
2156.137979 0
2156.423505 0
2156.709031 0
2156.994556 0
2157.280082 0
2157.565608 0
2157.851134 0
2158.136659 0
2158.422185 0
2158.707711 0
2158.993236 0
2159.278762 0
2159.564288 0
2159.849813 0
2160.135339 0
2160.420865 0
2160.706391 0
2160.991916 0
2161.277442 0
2161.562968 0
2161.848493 0
2162.134019 0
2162.419545 0
2162.705070 0
2162.990596 0
2163.276122 0
2163.561648 0
2163.847173 0
2164.132699 0
2164.418225 0
2164.703750 0
2164.989276 0
2165.274802 0
2165.560327 0
2165.845853 0
2166.131379 0
2166.416905 0
2166.702430 0
2166.987956 0
2167.273482 0
2167.559007 0
2167.844533 0
2168.130059 0
2168.415584 0
2168.701110 0
2168.986636 0
2169.272162 0
2169.557687 0
2169.843213 0
2170.128739 0
2170.414264 0
2170.699790 0
2170.985316 0
2171.270841 0
2171.556367 0
2171.841893 0
2172.127418 0
2172.412944 0
2172.698470 0
2172.983996 0
2173.269521 0
2173.555047 0
2173.840573 0
2174.126098 0
2174.411624 0
2174.697150 0
2174.982675 0
2175.268201 0
2175.553727 0
2175.839253 0
2176.124778 0
2176.410304 0
2176.695830 0
2176.981355 0
2177.266881 0
2177.552407 0
2177.837932 0
2178.123458 0
2178.408984 0
2178.694510 0
2178.980035 0
2179.265561 0
2179.551087 0
2179.836612 0
2180.122138 0
2180.407664 0
2180.693189 0
2180.978715 0
2181.264241 0
2181.549767 0
2181.835292 0
2182.120818 0
2182.406344 0
2182.691869 0
2182.977395 0
2183.262921 0
2183.548446 0
2183.833972 0
2184.119498 0
2184.405024 0
2184.690549 0
2184.976075 0
2185.261601 0
2185.547126 0
2185.832652 0
2186.118178 0
2186.403703 0
2186.689229 0
2186.974755 0
2187.260281 0
2187.545806 0
2187.831332 0
2188.116858 0
2188.402383 0
2188.687909 0
2188.973435 0
2189.258960 0
2189.544486 0
2189.830012 0
2190.115538 0
2190.401063 0
2190.686589 0
2190.972115 0
2191.257640 0
2191.543166 0
2191.828692 0
2192.114217 0
2192.399743 0
2192.685269 0
2192.970795 0
2193.256320 0
2193.541846 0
2193.827372 0
2194.112897 0
2194.398423 0
2194.683949 0
2194.969474 0
2195.255000 0
2195.540526 0
2195.826051 0
2196.111577 0
2196.397103 0
2196.682629 0
2196.968154 0
2197.253680 0
2197.539206 0
2197.824731 0
2198.110257 0
2198.395783 0
2198.681308 0
2198.966834 0
2199.252360 0
2199.537886 0
2199.823411 0
2200.108937 0
2200.394463 0
2200.679988 0
2200.965514 0
2201.251040 0
2201.536565 0
2201.822091 0
2202.107617 0
2202.393143 0
2202.678668 0
2202.964194 0
2203.249720 0
2203.535245 0
2203.820771 0
2204.106297 0
2204.391822 0
2204.677348 0
2204.962874 0
2205.248400 0
2205.533925 0
2205.819451 0
2206.104977 0
2206.390502 0
2206.676028 0
2206.961554 0
2207.247079 0
2207.532605 0
2207.818131 0
2208.103657 0
2208.389182 0
2208.674708 0
2208.960234 0
2209.245759 0
2209.531285 0
2209.816811 0
2210.102336 0
2210.387862 0
2210.673388 0
